GEO_ID,percent pop. white,percent pop. black/afr.american ,percent pop. asian ,percent pop hispanic,percent female pop,percent 65-74 yrs,percent pop 75-84,percent pop 85+,percent pop 65+,lbr market engage. Idx,unemployment rate (%),Owner:median income($),Renter:Median income ($),Median income[ALL] ($),Median value Owner occupied homes ($),Median rent ($),Low transport cost index,Low poverty Index,percent Foreign born,percent pop. with disability,Percent Estimate households with own children of the householder under 18 years,H+T index for AMI,H+T index for 80% AMI,total population ,Black population total ,white population total,asian pop. Total,hispanic pop. Total
12073000200,87.3,10.3,1,4097,54.6,10.5,2.5,1.7,14.7,94,4.9,51548,20926,25090,245300,866,72,49,7.8,6.2,10.9,46,53,4097,423,3576,39,258
12073000301,65.2,19.7,5,1548,46.4,12.1,5.6,1.8,19.5,90,4,86587,36941,55294,227200,998,63,60,11.6,15.1,12.6,59,69,1548,305,1009,78,135
12073000302,68.9,18.3,7.5,2255,49.6,10.8,8.2,3.5,22.5,91,6.8,79630,42007,53799,154900,1284,50,64,10.6,14.2,14.3,57,67,2255,413,1554,168,95
12073000303,39.7,54.9,2.4,4304,54.6,2.5,1.8,0.4,4.7,70,8,54375,16369,22708,107100,961,71,42,12.9,7.3,29.4,47,54,4304,2365,1708,105,94
12073000400,27.9,66.8,0,2501,64.9,1.6,1.1,0,2.7,9,25.9,98750,33805,47470,169000,918,66,63,4.6,4.2,21.4,47,55,2501,1670,697,0,183
12073000500,79.4,14.5,2,2441,59,1.1,0.2,0,1.3,25,16.8,-,11416,11536,-,775,82,31,5,4.3,0,39,44,2441,353,1938,49,284
12073000600,36.6,58.3,1.1,3929,49.4,6,1.5,0,7.5,1,23.8,55663,35785,45855,93900,846,78,4,5,19.5,9.7,45,52,3929,2290,1438,43,137
12073000700,65.8,29.7,3,1800,55.6,5.9,5.7,0.4,12,70,1.6,42188,20212,34319,140100,838,71,14,6.2,11.9,3.9,48,55,1800,535,1185,54,107
12073000800,80.3,13.4,1.9,3490,48.4,9.8,2,1.1,12.9,96,4.1,57500,34481,43833,284600,983,65,86,5,7.7,19.5,58,68,3490,468,2802,67,135
12073000901,65.7,27.4,3.4,8449,53.5,8.2,4.4,2.8,15.4,86,2.5,78580,55598,71932,198700,1076,63,54,8.7,10.4,19.9,54,63,8449,2311,5547,290,413
12073000903,63.1,32.2,1.5,2301,54.3,6.7,1.8,0.7,9.2,90,5.6,62118,-,60941,145200,1027,69,58,4.1,13,13.4,48,56,2301,741,1451,34,96
12073000904,65.4,25.8,4.1,3549,54.6,7.7,3.6,1.9,13.2,92,2.6,89975,37602,55639,144000,1000,65,82,10.3,12.2,15,52,60,3549,915,2322,146,277
12073000905,56.1,35.4,3.3,3109,50.7,4.6,2.4,1.8,8.8,91,4,37656,25000,27118,144900,1101,72,62,11.4,14.2,15.1,49,57,3109,1101,1745,103,359
12073001001,9.3,83.6,1.2,2988,54.8,4.2,0.6,0.8,5.6,16,18.2,48365,39353,42019,110800,815,67,0,6.2,13.6,29.9,42,49,2988,2497,277,35,116
12073001002,7.9,91.4,0,2698,61,4.1,0.5,0.2,4.8,5,10.6,99250,78250,94482,86400,1170,48,17,3.8,10.2,27.4,52,60,2698,2467,212,0,120
12073001101,9.1,88.8,0,2607,60.1,3.1,2.3,2.1,7.5,1,19.5,118021,44632,103558,82500,723,64,2,1,13.8,24.3,44,50,2607,2314,236,0,103
12073001102,16.9,79.8,0,2361,54.7,13.2,7.2,4.1,24.5,29,1.5,-,-,-,117800,859,45,39,0.6,19.1,18.6,61,71,2361,1884,400,0,210
12073001200,9.7,87.9,0,1254,39.7,4,1.4,1.3,6.7,6,4.6,62500,33569,39959,76000,739,70,2,6.6,24.2,0,47,55,1254,1102,122,0,39
12073001300,76.4,16,1.9,5114,61.2,0,0,0,0,2,38.7,61202,38407,48786,-,-,0,0,3.9,4.2,-,,,5114,818,3909,98,930
12073001401,23.5,62.6,9.3,1506,58.4,9.9,5.5,8.2,23.6,15,16.2,98750,50288,63322,89700,895,85,35,14.3,18.6,3.4,44,51,1506,943,354,140,35
12073001402,28.2,60.3,7.5,5352,53.6,2.7,1.2,0.9,4.8,36,18.9,56319,-,56076,87000,1009,73,11,8.2,6.9,13.2,49,57,5352,3227,1507,401,204
12073001500,63.4,34,0.9,4642,50.7,6.1,2.3,1.9,10.3,80,10.9,59934,36533,38727,156600,978,58,65,4.2,11.3,24,55,64,4642,1577,2942,41,319
12073001601,47.2,44.6,6,5295,52.8,4.7,2.1,0.5,7.3,81,10.2,90799,83811,90510,169400,949,62,64,8.7,9.7,21.8,44,51,5295,2360,2498,316,587
12073001602,86.8,9.6,0.5,3208,54.5,15.3,8.9,3.5,27.7,90,0.6,72750,46690,60758,237200,1371,23,91,6,9.8,19.3,70,83,3208,307,2785,17,99
12073001700,85.2,10.7,2.8,7317,51.1,14,8.2,4.2,26.4,95,3.6,42139,-,41094,296700,1009,64,74,9,12.5,23.8,70,83,7317,783,6236,205,405
12073001801,14.5,79.7,0.8,4982,51.6,4.4,3.2,0.4,8,12,14.3,48574,30625,38908,84000,1002,47,14,5.9,12,41.7,52,61,4982,3971,721,38,397
12073001802,31.9,58.9,3,5755,53.5,6.2,2.5,0.2,8.9,70,7,60543,33455,41771,109000,1022,49,47,4.2,13.6,38.2,51,59,5755,3390,1835,175,258
12073001901,11.3,84.4,4.3,1827,57.6,10.8,2.9,0,13.7,45,12.2,42138,37813,40038,118800,737,75,33,5.9,11.7,26,41,47,1827,1542,206,79,47
12073001902,32.2,63.4,1.1,4551,55.1,2.5,4.4,0.7,7.6,35,8.5,71250,27772,32986,91700,1091,47,11,4.9,11.9,24.4,51,60,4551,2886,1467,52,235
12073002003,37.9,60.4,0.4,3039,33.5,1.2,1.2,1.3,3.7,0,23.5,68679,40400,46662,116900,998,65,45,2.5,31.9,10.6,52,61,3039,1835,1152,13,120
12073002004,54.2,31.7,7.3,6615,52.6,0.4,0.6,0,1,24,11.3,-,23278,23278,60000,820,76,44,14.3,6.6,5.5,45,52,6615,2096,3584,484,603
12073002005,67.6,26.1,1.7,3689,44.6,0.5,0.3,0,0.8,43,16.9,44018,39632,40273,-,973,79,77,7.6,8.8,3.3,42,49,3689,964,2492,62,459
12073002006,70.2,23.4,4,4400,35,0.2,0.4,0.6,1.2,33,13.8,61154,44821,46715,90600,1023,73,58,6.1,6.9,1.9,45,52,4400,1031,3087,178,179
12073002101,53.7,41.8,2.5,4557,51.7,7.7,2.9,0.7,11.3,61,2.3,87132,48462,51052,129100,1083,53,47,3.1,11.3,10.8,56,66,4557,1904,2447,116,95
12073002103,55.8,28.5,11.9,4197,54.4,0.9,0,0.4,1.3,53,8.2,24271,11886,14504,101100,896,75,53,17,9.1,9,45,52,4197,1198,2343,501,380
12073002104,66.2,26.4,2.1,8544,54.4,1.2,1.1,0.4,2.7,26,10.7,53750,17612,18598,136000,911,69,28,5.7,6.9,10.3,45,53,8544,2258,5655,181,1028
12073002201,41.2,54,1,5732,52.1,4.5,0.9,0,5.4,52,9.7,92045,19688,23274,110200,948,62,22,8.4,8.5,23.5,48,56,5732,3094,2360,55,381
12073002205,54.3,41.8,1.6,5900,51,7.7,2,1,10.7,81,5.4,49757,25531,29688,138100,1098,47,37,4.2,8.6,25.5,59,69,5900,2465,3203,97,253
12073002206,67,28.3,0.6,3376,51.5,9.7,5.5,0.8,16,81,4.7,40865,29265,30474,169000,1289,31,86,6.3,13.4,27.4,65,76,3376,954,2262,19,161
12073002207,62.3,37.1,0,2207,55.4,11.6,4.2,5.2,21,48,9.9,27031,19304,19889,132600,993,52,38,3.9,15.8,10.5,52,61,2207,819,1374,0,0
12073002208,68.5,27,2,5394,53,7.6,6.4,2.6,16.6,68,5.2,-,14531,14673,158000,1130,43,68,4,12.6,22.8,59,69,5394,1459,3696,109,132
12073002302,68.2,26,1.4,3544,53.6,11.7,5.7,2.7,20.1,65,4.4,43036,21690,22157,227000,1074,20,50,1.8,11.8,20.7,70,83,3544,920,2416,49,190
12073002303,51.4,46.2,0,4260,52.7,6.5,3.2,1.3,11,76,3.6,47135,28818,31218,139400,1184,38,46,3.8,8.7,32.3,64,75,4260,1970,2188,0,288
12073002304,49.4,42.4,1.2,3527,45.9,6.8,0.9,0.6,8.3,35,12.1,46695,20786,24844,54400,1017,58,19,7.5,12.9,14.9,50,58,3527,1495,1741,41,322
12073002403,69.9,22.1,2.7,2452,52.1,10.7,2.6,0.9,14.2,71,7.1,70580,49185,58750,171400,1057,51,52,6.6,8.3,27,58,68,2452,542,1714,67,47
12073002408,87.3,5.6,4.2,7627,52.5,10.4,4.8,2.3,17.5,95,1.4,77959,37383,51424,232300,1363,27,70,4.5,14.7,29.7,74,87,7627,427,6655,320,530
12073002410,70.3,17.6,9.5,6125,55.9,9.3,2.4,1.2,12.9,91,4,70125,39886,57404,245000,1000,61,70,10.2,10.5,29.3,57,67,6125,1077,4306,582,372
12073002411,81.4,10.3,5.3,1413,46.1,14.8,2.8,0,17.6,43,10.9,42047,42131,42080,259800,867,19,78,7,13.7,28.7,75,89,1413,145,1150,75,109
12073002412,88.3,5.3,5.6,9470,52.1,8.1,3.4,0.8,12.3,93,2.8,93750,-,84211,248400,1612,22,91,6.1,7.7,44,80,96,9470,503,8362,527,587
12073002413,93.3,5.4,0.7,2649,56.2,9.9,3.4,1.5,14.8,97,3.2,102484,65476,100062,304300,1563,22,95,4.6,5,37.4,83,99,2649,143,2472,19,70
12073002414,90.4,5.3,0.8,4525,53,14.4,8.7,4,27.1,93,6.7,129500,56750,121417,269900,1065,40,99,5.1,14.6,30.3,70,83,4525,241,4089,35,473
12073002415,86.4,7,5.2,4280,52.9,13.4,6,1.4,20.8,98,5.2,92102,42313,75718,225800,1528,28,92,7,11.4,32.1,70,83,4280,298,3697,223,196
12073002416,91,2.8,3.5,2879,52.1,17.9,6.3,3.3,27.5,96,1.7,79961,83000,82708,431000,1977,39,96,3.4,9.6,26.3,91,108,2879,82,2620,100,85
12073002417,81.9,3.9,12,7676,49.5,9.6,1.6,0.7,11.9,96,5.5,122464,102778,121156,368600,1686,23,96,13.8,9,46.6,89,107,7676,300,6285,922,491
12073002505,66.1,26.6,3.2,5883,59.5,11.5,7.8,7,26.3,81,5.5,134245,83445,130972,193300,1219,52,48,10.5,17.3,19.9,60,70,5883,1563,3888,190,428
12073002507,75.8,21.6,1.1,2223,52.9,14.2,4.5,1.6,20.3,94,5.2,91917,-,91167,258600,1722,18,78,3.2,16.8,24.1,82,98,2223,481,1685,24,113
12073002508,70.5,24.4,1.6,9977,50.1,11.1,4.1,1.3,16.5,81,3.5,92955,38664,86458,270900,1238,24,67,2.8,10.1,33.3,78,93,9977,2433,7031,162,592
12073002509,42.9,40.4,5.7,4363,60.6,6,1.4,0,7.4,4,4.7,55662,40938,45663,99100,1038,60,29,10.3,11.4,36.5,53,61,4363,1763,1872,247,529
12073002510,59.9,29.3,6.5,6397,51.8,11.3,2,1.1,14.4,84,5.8,80593,65758,71409,173200,1066,32,82,7.1,13.3,24.1,63,74,6397,1872,3832,413,163
12073002511,82.9,12.5,2.6,1474,54.9,14.9,9.3,2.4,26.6,94,14.5,101875,36827,92692,290400,994,35,91,4.4,14.8,27.2,74,87,1474,184,1222,38,6
12073002512,79.9,11.4,3.8,3705,48.7,11.8,2.7,1.3,15.8,95,7,95254,-,92043,277600,794,21,96,6.5,10.5,29.7,76,90,3705,422,2961,139,157
12073002513,78.4,7.8,12.9,4994,50.4,11.2,1.5,0.3,13,96,3.2,107964,77464,105786,247400,1942,21,95,12.7,6.8,40.7,78,92,4994,389,3917,642,280
12073002603,49.1,48.4,0,4583,54,9,4.1,0.3,13.4,25,12.9,57769,28225,43438,87600,957,36,15,1.4,23.1,23.4,54,63,4583,2217,2250,0,29
12073002604,72.3,22,0.2,3175,54.3,12,3.5,1.8,17.3,51,11,48750,42431,46000,104600,934,35,61,2.3,21.2,20.4,63,73,3175,697,2297,7,152
12073002605,68.8,14.4,11.6,5134,48.5,9.6,1.2,0.2,11,98,5.4,116548,95129,107244,327000,1329,41,95,14.7,9.6,34.5,75,89,5134,738,3531,593,300
